ClinicServiceID,ClinicID,ServiceID,Service,Name,Suburb,State,Email,Lat,Lon
54,23,1,General Practitioner,Cattle Creek Clinic,Cattle Creek,QLD,cattlecreek@myclinic.com.au,-27.6483,150.836678
55,23,4,Psychiatry,Cattle Creek Clinic,Cattle Creek,QLD,cattlecreek@myclinic.com.au,-27.6483,150.836678
56,24,2,Pathology,Caboolture Clinic,Caboolture,QLD,caboolture@myclinic.com.au,-27.085007,152.951707
57,25,5,Chiropratic,Booie Clinic,Booie,QLD,booie@myclinic.com.au,-26.498426,151.935421
58,26,1,General Practitioner,Rockhampton Clinic,Rockhampton,QLD,rockhampton@myclinic.com.au,-23.378941,150.512323
59,26,2,Pathology,Rockhampton Clinic,Rockhampton,QLD,rockhampton@myclinic.com.au,-23.378941,150.512323
60,26,3,Radiology,Rockhampton Clinic,Rockhampton,QLD,rockhampton@myclinic.com.au,-23.378941,150.512323
61,27,1,General Practitioner,Townsville Clinic,Townsville,QLD,townsville@myclinic.com.au,-19.267358,146.80654
62,27,2,Pathology,Townsville Clinic,Townsville,QLD,townsville@myclinic.com.au,-19.267358,146.80654
63,27,3,Radiology,Townsville Clinic,Townsville,QLD,townsville@myclinic.com.au,-19.267358,146.80654
64,27,4,Psychiatry,Townsville Clinic,Townsville,QLD,townsville@myclinic.com.au,-19.267358,146.80654
65,27,5,Chiropratic,Townsville Clinic,Townsville,QLD,townsville@myclinic.com.au,-19.267358,146.80654
66,28,1,General Practitioner,Cairns Clinic,Cairns,QLD,cairns@myclinic.com.au,-16.925397,145.775178
67,28,3,Radiology,Cairns Clinic,Cairns,QLD,cairns@myclinic.com.au,-16.925397,145.775178
68,28,5,Chiropratic,Cairns Clinic,Cairns,QLD,cairns@myclinic.com.au,-16.925397,145.775178
69,29,1,General Practitioner,Adelaide Centre Clinic,Adelaide,SA,adelaide@myclinic.com.au,-34.92577,138.599732
70,29,2,Pathology,Adelaide Centre Clinic,Adelaide,SA,adelaide@myclinic.com.au,-34.92577,138.599732
71,29,3,Radiology,Adelaide Centre Clinic,Adelaide,SA,adelaide@myclinic.com.au,-34.92577,138.599732
72,29,4,Psychiatry,Adelaide Centre Clinic,Adelaide,SA,adelaide@myclinic.com.au,-34.92577,138.599732
73,29,5,Chiropratic,Adelaide Centre Clinic,Adelaide,SA,adelaide@myclinic.com.au,-34.92577,138.599732
8,3,1,General Practitioner,Auburn Clinic,Auburn,NSW,auburn@myclinic.com.au,-33.849322,151.033421
9,3,2,Pathology,Auburn Clinic,Auburn,NSW,auburn@myclinic.com.au,-33.849322,151.033421
10,4,1,General Practitioner,Riverwood Clinic,Riverwood,NSW,riverwood@myclinic.com.au,-33.949859,151.052469
11,4,4,Psychiatry,Riverwood Clinic,Riverwood,NSW,riverwood@myclinic.com.au,-33.949859,151.052469
12,4,5,Chiropratic,Riverwood Clinic,Riverwood,NSW,riverwood@myclinic.com.au,-33.949859,151.052469
13,5,2,Pathology,Fingal Bay Clinic,Fingal Bay,NSW,fingalbay@myclinic.com.au,-32.748113,152.170141
14,6,3,Radiology,Harrington Clinic,Harrington,NSW,harrington@myclinic.com.au,-31.872153,152.689811
15,7,1,General Practitioner,Back Forest Clinic,Back Forest,NSW,backforest@myclinic.com.au,-34.853655,150.678507
16,7,2,Pathology,Back Forest Clinic,Back Forest,NSW,backforest@myclinic.com.au,-34.853655,150.678507
17,7,5,Chiropratic,Back Forest Clinic,Back Forest,NSW,backforest@myclinic.com.au,-34.853655,150.678507
18,8,1,General Practitioner,Jindabyne Clinic,Jindabyne,NSW,jindabyne@myclinic.com.au,-36.415074,148.618871
19,8,2,Pathology,Jindabyne Clinic,Jindabyne,NSW,jindabyne@myclinic.com.au,-36.415074,148.618871
20,8,3,Radiology,Jindabyne Clinic,Jindabyne,NSW,jindabyne@myclinic.com.au,-36.415074,148.618871
21,9,1,General Practitioner,Benolong Clinic,Benolong,NSW,benolong@myclinic.com.au,-32.413736,148.63938
22,9,4,Psychiatry,Benolong Clinic,Benolong,NSW,benolong@myclinic.com.au,-32.413736,148.63938
